CrimeNumber,CrimeRegisteredDate,BriefFacts,CaseStatus,CrimeMajorHead,CrimeMinorHead,PoliceStation,District,Latitude,Longitude,CaseStatusID,CategoryID,GravityID,CrimeHeadID,CrimeSubHeadID,UnitID,DistrictID,OfficerID
KSP/DIS009/2026/01156,2026-05-09,"Human Trafficking reported at Davanagere Traffic PS, Davanagere. Brief: Forced labor or trafficking rescue operation. Incident occurred near Davanagere Traffic PS, Davanagere, Karnataka.",Convicted,Organized Crime & Extortion,Human Trafficking,Davanagere Traffic PS,Davanagere,14.5064,75.9638,CS004,CAT004,GR001,CH007,CSH022,U041,DIS009,OFF131
KSP/DIS010/2026/01157,2026-06-10,"Gambling reported at Mysuru Town PS, Mysuru. Brief: Illegal betting & Matka operation bust. Incident occurred near Mysuru Town PS, Mysuru, Karnataka.",Acquitted,Public Disturbance & Miscellaneous,Gambling,Mysuru Town PS,Mysuru,12.3028,76.6464,CS005,CAT001,GR002,CH012,CSH023,U042,DIS010,OFF147
KSP/DIS011/2026/01158,2026-07-11,"Wildlife Crime reported at Mandya Central PS, Mandya. Brief: Poaching of protected species or ivory seizure. Incident occurred near Mandya Central PS, Mandya, Karnataka.",Closed / Undetected,Environmental & Forest Crime,Wildlife Crime,Mandya Central PS,Mandya,12.5418,76.9151,CS006,CAT002,GR003,CH009,CSH024,U047,DIS011,OFF163
KSP/DIS012/2026/01159,2026-08-12,"Forest Crime reported at Hassan Cyber Crime PS, Hassan. Brief: Illegal sandalwood or timber smuggling. Incident occurred near Hassan Cyber Crime PS, Hassan, Karnataka.",Under Investigation,Environmental & Forest Crime,Forest Crime,Hassan Cyber Crime PS,Hassan,13.0363,76.1334,CS001,CAT003,GR004,CH009,CSH025,U052,DIS012,OFF179
KSP/DIS013/2026/01160,2026-09-13,"Terror Related Activity reported at Chamarajanagara Traffic PS, Chamarajanagara. Brief: Unlawful Activities Prevention Act (UAPA) investigation. Incident occurred near Chamarajanagara Traffic PS, Chamarajanagara, Karnataka.",Charge Sheeted,Terror & National Security,Terror Related Activity,Chamarajanagara Traffic PS,Chamarajanagara,11.9721,76.9897,CS002,CAT004,GR005,CH010,CSH026,U057,DIS013,OFF195
KSP/DIS014/2026/01161,2026-10-14,"Corruption reported at Kodagu Town PS, Kodagu. Brief: Prevention of Corruption Act bribe trap. Incident occurred near Kodagu Town PS, Kodagu, Karnataka.",Pending Trial,Economic & White Collar Offence,Corruption,Kodagu Town PS,Kodagu,12.4354,75.7492,CS003,CAT001,GR001,CH008,CSH027,U058,DIS014,OFF211
KSP/DIS015/2026/01162,2026-11-15,"Economic Offence reported at Dakshina Kannada (Mangaluru) Central PS, Dakshina Kannada (Mangaluru). Brief: Multi-crore Ponzi scheme or financial fraud. Incident occurred near Dakshina Kannada (Mangaluru) Central PS, Dakshina Kannada (Mangaluru), Karnataka.",Convicted,Economic & White Collar Offence,Economic Offence,Dakshina Kannada (Mangaluru) Central PS,Dakshina Kannada (Mangaluru),12.9381,74.8800,CS004,CAT002,GR002,CH008,CSH028,U063,DIS015,OFF227
KSP/DIS016/2026/01163,2026-12-16,"White Collar Crime reported at Udupi Cyber Crime PS, Udupi. Brief: Corporate embezzlement or insider fraud. Incident occurred near Udupi Cyber Crime PS, Udupi, Karnataka.",Acquitted,Economic & White Collar Offence,White Collar Crime,Udupi Cyber Crime PS,Udupi,13.3779,74.7791,CS005,CAT003,GR003,CH008,CSH029,U068,DIS016,OFF243
KSP/DIS017/2026/01164,2026-01-17,"Smuggling reported at Uttara Kannada (Karwar) Traffic PS, Uttara Kannada (Karwar). Brief: Contraband gold or red sanders interception. Incident occurred near Uttara Kannada (Karwar) Traffic PS, Uttara Kannada (Karwar), Karnataka.",Closed / Undetected,Organized Crime & Extortion,Smuggling,Uttara Kannada (Karwar) Traffic PS,Uttara Kannada (Karwar),14.8685,74.1803,CS006,CAT004,GR004,CH007,CSH030,U073,DIS017,OFF259
KSP/DIS018/2026/01165,2026-02-18,"Extortion reported at Belagavi Town PS, Belagavi. Brief: Demanding protection money under threat. Incident occurred near Belagavi Town PS, Belagavi, Karnataka.",Under Investigation,Organized Crime & Extortion,Extortion,Belagavi Town PS,Belagavi,15.8647,74.5127,CS001,CAT001,GR005,CH007,CSH031,U074,DIS018,OFF275
KSP/DIS019/2026/01166,2026-03-19,"Blackmail reported at Dharwad Central PS, Dharwad. Brief: Chantaje or extortion via compromised media. Incident occurred near Dharwad Central PS, Dharwad, Karnataka.",Charge Sheeted,Organized Crime & Extortion,Blackmail,Dharwad Central PS,Dharwad,15.4869,75.0358,CS002,CAT002,GR001,CH007,CSH032,U079,DIS019,OFF291
KSP/DIS020/2026/01167,2026-04-20,"Counterfeit Currency reported at Hubballi City Cyber Crime PS, Hubballi City. Brief: FICN high-quality fake currency notes circulating. Incident occurred near Hubballi City Cyber Crime PS, Hubballi City, Karnataka.",Pending Trial,Economic & White Collar Offence,Counterfeit Currency,Hubballi City Cyber Crime PS,Hubballi City,15.4057,75.1650,CS003,CAT003,GR002,CH008,CSH033,U084,DIS020,OFF307
KSP/DIS021/2026/01168,2026-05-21,"Fake Documents reported at Gadag Traffic PS, Gadag. Brief: Forgery of land title deeds or government IDs. Incident occurred near Gadag Traffic PS, Gadag, Karnataka.",Convicted,Economic & White Collar Offence,Fake Documents,Gadag Traffic PS,Gadag,15.4859,75.6858,CS004,CAT004,GR003,CH008,CSH034,U089,DIS021,OFF323
KSP/DIS022/2026/01169,2026-06-22,"Hit and Run reported at Haveri Town PS, Haveri. Brief: Fatal vehicular collision where driver fled scene. Incident occurred near Haveri Town PS, Haveri, Karnataka.",Acquitted,Traffic & Road Incident,Hit and Run,Haveri Town PS,Haveri,14.8136,75.4187,CS005,CAT001,GR004,CH011,CSH035,U090,DIS022,OFF339
KSP/DIS023/2026/01170,2026-07-23,"Road Accident reported at Vijayapura Central PS, Vijayapura. Brief: Negligent driving causing injury IPC 279/338. Incident occurred near Vijayapura Central PS, Vijayapura, Karnataka.",Closed / Undetected,Traffic & Road Incident,Road Accident,Vijayapura Central PS,Vijayapura,16.8622,75.7420,CS006,CAT002,GR005,CH011,CSH036,U095,DIS023,OFF355
KSP/DIS024/2026/01171,2026-08-24,"Fire Incident reported at Bagalkote Cyber Crime PS, Bagalkote. Brief: Industrial or residential fire accident inquiry. Incident occurred near Bagalkote Cyber Crime PS, Bagalkote, Karnataka.",Under Investigation,Public Disturbance & Miscellaneous,Fire Incident,Bagalkote Cyber Crime PS,Bagalkote,16.2303,75.7413,CS001,CAT003,GR001,CH012,CSH037,U100,DIS024,OFF356
KSP/DIS025/2026/01172,2026-09-25,"Unknown Dead Body reported at Kalaburagi Traffic PS, Kalaburagi. Brief: Unidentified corpse inquest Section 174 CrPC. Incident occurred near Kalaburagi Traffic PS, Kalaburagi, Karnataka.",Charge Sheeted,Public Disturbance & Miscellaneous,Unknown Dead Body,Kalaburagi Traffic PS,Kalaburagi,17.3877,76.8923,CS002,CAT004,GR002,CH012,CSH038,U105,DIS025,OFF372
KSP/DIS026/2026/01173,2026-10-26,"Suicide Investigation reported at Bidar Town PS, Bidar. Brief: Unnatural death and suicide note inquiry. Incident occurred near Bidar Town PS, Bidar, Karnataka.",Pending Trial,Public Disturbance & Miscellaneous,Suicide Investigation,Bidar Town PS,Bidar,17.9334,77.5429,CS003,CAT001,GR003,CH012,CSH039,U106,DIS026,OFF388
KSP/DIS027/2026/01174,2026-11-27,"Property Disputes reported at Raichur Central PS, Raichur. Brief: Civil boundary dispute causing law and order friction. Incident occurred near Raichur Central PS, Raichur, Karnataka.",Convicted,Public Disturbance & Miscellaneous,Property Disputes,Raichur Central PS,Raichur,16.2436,77.3823,CS004,CAT002,GR004,CH012,CSH040,U111,DIS027,OFF404
KSP/DIS028/2026/01175,2026-12-28,"Public Disturbance reported at Koppal Cyber Crime PS, Koppal. Brief: Unlawful assembly, rioting, or public brawl. Incident occurred near Koppal Cyber Crime PS, Koppal, Karnataka.",Acquitted,Public Disturbance & Miscellaneous,Public Disturbance,Koppal Cyber Crime PS,Koppal,15.3995,76.2048,CS005,CAT003,GR005,CH012,CSH041,U116,DIS028,OFF420
KSP/DIS029/2026/01176,2026-01-01,"Synthetic Drugs (MDMA) reported at Yadgir Traffic PS, Yadgir. Brief: Commercial seizure of MDMA / Methamphetamine. Incident occurred near Yadgir Traffic PS, Yadgir, Karnataka.",Closed / Undetected,Narcotics & Contraband,Synthetic Drugs (MDMA),Yadgir Traffic PS,Yadgir,16.8298,77.1972,CS006,CAT004,GR001,CH006,CSH042,U121,DIS029,OFF436
KSP/DIS030/2026/01177,2026-02-02,"Murder reported at Ballari Town PS, Ballari. Brief: Premeditated homicide investigation. Incident occurred near Ballari Town PS, Ballari, Karnataka.",Under Investigation,Violent Crime,Murder,Ballari Town PS,Ballari,15.1664,76.9484,CS001,CAT001,GR002,CH001,CSH001,U122,DIS030,OFF452
KSP/DIS031/2026/01178,2026-03-03,"Attempt to Murder reported at Vijayanagara (Hospete) Central PS, Vijayanagara (Hospete). Brief: Violent assault with deadly weapon. Incident occurred near Vijayanagara (Hospete) Central PS, Vijayanagara (Hospete), Karnataka.",Charge Sheeted,Violent Crime,Attempt to Murder,Vijayanagara (Hospete) Central PS,Vijayanagara (Hospete),15.3089,76.4309,CS002,CAT002,GR003,CH001,CSH002,U127,DIS031,OFF468
KSP/DIS001/2026/01179,2026-04-04,"Assault & Grievous Hurt reported at Jayanagar Police Station, Bengaluru Urban. Brief: Physical injury caused during gang/group clash. Incident occurred near Jayanagar Police Station, Bengaluru Urban, Karnataka.",Pending Trial,Violent Crime,Assault & Grievous Hurt,Jayanagar Police Station,Bengaluru Urban,13.0966,77.7196,CS003,CAT003,GR004,CH001,CSH003,U009,DIS001,OFF003
KSP/DIS002/2026/01180,2026-05-05,"Kidnapping reported at Bengaluru Rural Traffic PS, Bengaluru Rural. Brief: Abduction for ransom or coercion. Incident occurred near Bengaluru Rural Traffic PS, Bengaluru Rural, Karnataka.",Convicted,Violent Crime,Kidnapping,Bengaluru Rural Traffic PS,Bengaluru Rural,13.2917,77.6410,CS004,CAT004,GR005,CH001,CSH004,U013,DIS002,OFF035
KSP/DIS003/2026/01181,2026-06-06,"Missing Person reported at Ramanagara Town PS, Ramanagara. Brief: Trace & locate missing citizen petition. Incident occurred near Ramanagara Town PS, Ramanagara, Karnataka.",Acquitted,Violent Crime,Missing Person,Ramanagara Town PS,Ramanagara,12.7469,77.3122,CS005,CAT001,GR001,CH001,CSH005,U014,DIS003,OFF051
KSP/DIS004/2026/01182,2026-07-07,"Theft reported at Chikkaballapura Central PS, Chikkaballapura. Brief: Larceny of personal or commercial goods. Incident occurred near Chikkaballapura Central PS, Chikkaballapura, Karnataka.",Closed / Undetected,Property Crime,Theft,Chikkaballapura Central PS,Chikkaballapura,13.4795,77.7755,CS006,CAT002,GR002,CH002,CSH006,U019,DIS004,OFF067
KSP/DIS005/2026/01183,2026-08-08,"Vehicle Theft reported at Kolar Cyber Crime PS, Kolar. Brief: Stolen motor vehicle or two-wheeler. Incident occurred near Kolar Cyber Crime PS, Kolar, Karnataka.",Under Investigation,Vehicle Theft,Vehicle Theft,Kolar Cyber Crime PS,Kolar,13.1937,78.1861,CS001,CAT003,GR003,CH003,CSH007,U024,DIS005,OFF083
KSP/DIS006/2026/01184,2026-09-09,"Burglary reported at Tumakuru Traffic PS, Tumakuru. Brief: Overnight trespass and property theft. Incident occurred near Tumakuru Traffic PS, Tumakuru, Karnataka.",Charge Sheeted,Property Crime,Burglary,Tumakuru Traffic PS,Tumakuru,13.4092,77.1715,CS002,CAT004,GR004,CH002,CSH008,U029,DIS006,OFF099
KSP/DIS007/2026/01185,2026-10-10,"Robbery reported at Shivamogga Town PS, Shivamogga. Brief: Armed robbery using force or coercion. Incident occurred near Shivamogga Town PS, Shivamogga, Karnataka.",Pending Trial,Property Crime,Robbery,Shivamogga Town PS,Shivamogga,13.9649,75.6031,CS003,CAT001,GR005,CH002,CSH009,U030,DIS007,OFF115
KSP/DIS008/2026/01186,2026-11-11,"Chain Snatching reported at Chitradurga Central PS, Chitradurga. Brief: Snatching jewelry from pedestrians on public road. Incident occurred near Chitradurga Central PS, Chitradurga, Karnataka.",Convicted,Property Crime,Chain Snatching,Chitradurga Central PS,Chitradurga,14.2731,76.4460,CS004,CAT002,GR001,CH002,CSH010,U035,DIS008,OFF116
KSP/DIS009/2026/01187,2026-12-12,"Cyber Crime reported at Davanagere Cyber Crime PS, Davanagere. Brief: Hacking, malware infection, IT Act violation. Incident occurred near Davanagere Cyber Crime PS, Davanagere, Karnataka.",Acquitted,Cyber Crime & Online Fraud,Cyber Crime,Davanagere Cyber Crime PS,Davanagere,14.5254,75.9828,CS005,CAT003,GR002,CH004,CSH011,U040,DIS009,OFF132
KSP/DIS010/2026/01188,2026-01-13,"UPI Fraud reported at Mysuru Traffic PS, Mysuru. Brief: Fake QR code or deceptive payment request. Incident occurred near Mysuru Traffic PS, Mysuru, Karnataka.",Closed / Undetected,Cyber Crime & Online Fraud,UPI Fraud,Mysuru Traffic PS,Mysuru,12.3698,76.7134,CS006,CAT004,GR003,CH004,CSH012,U045,DIS010,OFF148
KSP/DIS011/2026/01189,2026-02-14,"Online Banking Fraud reported at Mandya Town PS, Mandya. Brief: Phishing link leading to net banking unauthorized debit. Incident occurred near Mandya Town PS, Mandya, Karnataka.",Under Investigation,Cyber Crime & Online Fraud,Online Banking Fraud,Mandya Town PS,Mandya,12.5608,76.9341,CS001,CAT001,GR004,CH004,CSH013,U046,DIS011,OFF164
KSP/DIS012/2026/01190,2026-03-15,"Identity Theft reported at Hassan Central PS, Hassan. Brief: SIM swap or stolen credential impersonation. Incident occurred near Hassan Central PS, Hassan, Karnataka.",Charge Sheeted,Cyber Crime & Online Fraud,Identity Theft,Hassan Central PS,Hassan,13.0553,76.1524,CS002,CAT002,GR005,CH004,CSH014,U051,DIS012,OFF180
KSP/DIS013/2026/01191,2026-04-16,"ATM Fraud reported at Chamarajanagara Cyber Crime PS, Chamarajanagara. Brief: ATM skimming device or card cloning. Incident occurred near Chamarajanagara Cyber Crime PS, Chamarajanagara, Karnataka.",Pending Trial,Cyber Crime & Online Fraud,ATM Fraud,Chamarajanagara Cyber Crime PS,Chamarajanagara,11.9911,77.0087,CS003,CAT003,GR001,CH004,CSH015,U056,DIS013,OFF196
KSP/DIS014/2026/01192,2026-05-17,"Rape reported at Kodagu Traffic PS, Kodagu. Brief: Penal Code Section 376 prosecution. Incident occurred near Kodagu Traffic PS, Kodagu, Karnataka.",Convicted,Crime Against Women & Children,Rape,Kodagu Traffic PS,Kodagu,12.5024,75.8162,CS004,CAT004,GR002,CH005,CSH016,U061,DIS014,OFF212
KSP/DIS015/2026/01193,2026-06-18,"Sexual Assault reported at Dakshina Kannada (Mangaluru) Town PS, Dakshina Kannada (Mangaluru). Brief: Outraging modesty and sexual harassment. Incident occurred near Dakshina Kannada (Mangaluru) Town PS, Dakshina Kannada (Mangaluru), Karnataka.",Acquitted,Crime Against Women & Children,Sexual Assault,Dakshina Kannada (Mangaluru) Town PS,Dakshina Kannada (Mangaluru),12.9571,74.8990,CS005,CAT001,GR003,CH005,CSH017,U062,DIS015,OFF228
KSP/DIS016/2026/01194,2026-07-19,"POCSO reported at Udupi Central PS, Udupi. Brief: Protection of Children from Sexual Offences Act case. Incident occurred near Udupi Central PS, Udupi, Karnataka.",Closed / Undetected,Crime Against Women & Children,POCSO,Udupi Central PS,Udupi,13.3969,74.7981,CS006,CAT002,GR004,CH005,CSH018,U067,DIS016,OFF244
KSP/DIS017/2026/01195,2026-08-20,"Domestic Violence reported at Uttara Kannada (Karwar) Cyber Crime PS, Uttara Kannada (Karwar). Brief: Spousal abuse and dowry harassment IPC 498A. Incident occurred near Uttara Kannada (Karwar) Cyber Crime PS, Uttara Kannada (Karwar), Karnataka.",Under Investigation,Crime Against Women & Children,Domestic Violence,Uttara Kannada (Karwar) Cyber Crime PS,Uttara Kannada (Karwar),14.8875,74.1993,CS001,CAT003,GR005,CH005,CSH019,U072,DIS017,OFF260
KSP/DIS018/2026/01196,2026-09-21,"Illegal Weapons reported at Belagavi Traffic PS, Belagavi. Brief: Arms Act violation involving unlicensed firearms. Incident occurred near Belagavi Traffic PS, Belagavi, Karnataka.",Charge Sheeted,Organized Crime & Extortion,Illegal Weapons,Belagavi Traffic PS,Belagavi,15.9317,74.5797,CS002,CAT004,GR001,CH007,CSH020,U077,DIS018,OFF276
KSP/DIS019/2026/01197,2026-10-22,"Drug Trafficking reported at Dharwad Town PS, Dharwad. Brief: NDPS Act commercial quantity drug seizure. Incident occurred near Dharwad Town PS, Dharwad, Karnataka.",Pending Trial,Narcotics & Contraband,Drug Trafficking,Dharwad Town PS,Dharwad,15.5059,75.0548,CS003,CAT001,GR002,CH006,CSH021,U078,DIS019,OFF292
KSP/DIS020/2026/01198,2026-11-23,"Human Trafficking reported at Hubballi City Central PS, Hubballi City. Brief: Forced labor or trafficking rescue operation. Incident occurred near Hubballi City Central PS, Hubballi City, Karnataka.",Convicted,Organized Crime & Extortion,Human Trafficking,Hubballi City Central PS,Hubballi City,15.4247,75.1840,CS004,CAT002,GR003,CH007,CSH022,U083,DIS020,OFF308
KSP/DIS021/2026/01199,2026-12-24,"Gambling reported at Gadag Cyber Crime PS, Gadag. Brief: Illegal betting & Matka operation bust. Incident occurred near Gadag Cyber Crime PS, Gadag, Karnataka.",Acquitted,Public Disturbance & Miscellaneous,Gambling,Gadag Cyber Crime PS,Gadag,15.5049,75.7048,CS005,CAT003,GR004,CH012,CSH023,U088,DIS021,OFF324
KSP/DIS022/2026/01200,2026-01-25,"Wildlife Crime reported at Haveri Traffic PS, Haveri. Brief: Poaching of protected species or ivory seizure. Incident occurred near Haveri Traffic PS, Haveri, Karnataka.",Closed / Undetected,Environmental & Forest Crime,Wildlife Crime,Haveri Traffic PS,Haveri,14.7806,75.3857,CS006,CAT004,GR005,CH009,CSH024,U093,DIS022,OFF340
KSP/DIS023/2026/01201,2026-02-26,"Forest Crime reported at Vijayapura Town PS, Vijayapura. Brief: Illegal sandalwood or timber smuggling. Incident occurred near Vijayapura Town PS, Vijayapura, Karnataka.",Under Investigation,Environmental & Forest Crime,Forest Crime,Vijayapura Town PS,Vijayapura,16.7812,75.6610,CS001,CAT001,GR001,CH009,CSH025,U094,DIS023,OFF341
KSP/DIS024/2026/01202,2026-03-27,"Terror Related Activity reported at Bagalkote Central PS, Bagalkote. Brief: Unlawful Activities Prevention Act (UAPA) investigation. Incident occurred near Bagalkote Central PS, Bagalkote, Karnataka.",Charge Sheeted,Terror & National Security,Terror Related Activity,Bagalkote Central PS,Bagalkote,16.1493,75.6603,CS002,CAT002,GR002,CH010,CSH026,U099,DIS024,OFF357
KSP/DIS025/2026/01203,2026-04-28,"Corruption reported at Kalaburagi Cyber Crime PS, Kalaburagi. Brief: Prevention of Corruption Act bribe trap. Incident occurred near Kalaburagi Cyber Crime PS, Kalaburagi, Karnataka.",Pending Trial,Economic & White Collar Offence,Corruption,Kalaburagi Cyber Crime PS,Kalaburagi,17.3067,76.8113,CS003,CAT003,GR003,CH008,CSH027,U104,DIS025,OFF373
KSP/DIS026/2026/01204,2026-05-01,"Economic Offence reported at Bidar Traffic PS, Bidar. Brief: Multi-crore Ponzi scheme or financial fraud. Incident occurred near Bidar Traffic PS, Bidar, Karnataka.",Convicted,Economic & White Collar Offence,Economic Offence,Bidar Traffic PS,Bidar,17.9004,77.5099,CS004,CAT004,GR004,CH008,CSH028,U109,DIS026,OFF389
KSP/DIS027/2026/01205,2026-06-02,"White Collar Crime reported at Raichur Town PS, Raichur. Brief: Corporate embezzlement or insider fraud. Incident occurred near Raichur Town PS, Raichur, Karnataka.",Acquitted,Economic & White Collar Offence,White Collar Crime,Raichur Town PS,Raichur,16.1626,77.3013,CS005,CAT001,GR005,CH008,CSH029,U110,DIS027,OFF405
KSP/DIS028/2026/01206,2026-07-03,"Smuggling reported at Koppal Central PS, Koppal. Brief: Contraband gold or red sanders interception. Incident occurred near Koppal Central PS, Koppal, Karnataka.",Closed / Undetected,Organized Crime & Extortion,Smuggling,Koppal Central PS,Koppal,15.3185,76.1238,CS006,CAT002,GR001,CH007,CSH030,U115,DIS028,OFF421
KSP/DIS029/2026/01207,2026-08-04,"Extortion reported at Yadgir Cyber Crime PS, Yadgir. Brief: Demanding protection money under threat. Incident occurred near Yadgir Cyber Crime PS, Yadgir, Karnataka.",Under Investigation,Organized Crime & Extortion,Extortion,Yadgir Cyber Crime PS,Yadgir,16.7488,77.1162,CS001,CAT003,GR002,CH007,CSH031,U120,DIS029,OFF437
KSP/DIS030/2026/01208,2026-09-05,"Blackmail reported at Ballari Traffic PS, Ballari. Brief: Chantaje or extortion via compromised media. Incident occurred near Ballari Traffic PS, Ballari, Karnataka.",Charge Sheeted,Organized Crime & Extortion,Blackmail,Ballari Traffic PS,Ballari,15.1334,76.9154,CS002,CAT004,GR003,CH007,CSH032,U125,DIS030,OFF453
KSP/DIS031/2026/01209,2026-10-06,"Counterfeit Currency reported at Vijayanagara (Hospete) Town PS, Vijayanagara (Hospete). Brief: FICN high-quality fake currency notes circulating. Incident occurred near Vijayanagara (Hospete) Town PS, Vijayanagara (Hospete), Karnataka.",Pending Trial,Economic & White Collar Offence,Counterfeit Currency,Vijayanagara (Hospete) Town PS,Vijayanagara (Hospete),15.2279,76.3499,CS003,CAT001,GR004,CH008,CSH033,U126,DIS031,OFF469
KSP/DIS001/2026/01210,2026-11-07,"Fake Documents reported at Bengaluru Urban Traffic PS, Bengaluru Urban. Brief: Forgery of land title deeds or government IDs. Incident occurred near Bengaluru Urban Traffic PS, Bengaluru Urban, Karnataka.",Convicted,Economic & White Collar Offence,Fake Documents,Bengaluru Urban Traffic PS,Bengaluru Urban,12.9676,77.5906,CS004,CAT002,GR005,CH008,CSH034,U004,DIS001,OFF017
KSP/DIS002/2026/01211,2026-12-08,"Hit and Run reported at Bengaluru Rural Cyber Crime PS, Bengaluru Rural. Brief: Fatal vehicular collision where driver fled scene. Incident occurred near Bengaluru Rural Cyber Crime PS, Bengaluru Rural, Karnataka.",Acquitted,Traffic & Road Incident,Hit and Run,Bengaluru Rural Cyber Crime PS,Bengaluru Rural,13.2107,77.5600,CS005,CAT003,GR001,CH011,CSH035,U012,DIS002,OFF036
KSP/DIS003/2026/01212,2026-01-09,"Road Accident reported at Ramanagara Traffic PS, Ramanagara. Brief: Negligent driving causing injury IPC 279/338. Incident occurred near Ramanagara Traffic PS, Ramanagara, Karnataka.",Closed / Undetected,Traffic & Road Incident,Road Accident,Ramanagara Traffic PS,Ramanagara,12.7139,77.2792,CS006,CAT004,GR002,CH011,CSH036,U017,DIS003,OFF052
KSP/DIS004/2026/01213,2026-02-10,"Fire Incident reported at Chikkaballapura Town PS, Chikkaballapura. Brief: Industrial or residential fire accident inquiry. Incident occurred near Chikkaballapura Town PS, Chikkaballapura, Karnataka.",Under Investigation,Public Disturbance & Miscellaneous,Fire Incident,Chikkaballapura Town PS,Chikkaballapura,13.3985,77.6945,CS001,CAT001,GR003,CH012,CSH037,U018,DIS004,OFF068
KSP/DIS005/2026/01214,2026-03-11,"Unknown Dead Body reported at Kolar Central PS, Kolar. Brief: Unidentified corpse inquest Section 174 CrPC. Incident occurred near Kolar Central PS, Kolar, Karnataka.",Charge Sheeted,Public Disturbance & Miscellaneous,Unknown Dead Body,Kolar Central PS,Kolar,13.1127,78.1051,CS002,CAT002,GR004,CH012,CSH038,U023,DIS005,OFF084
KSP/DIS006/2026/01215,2026-04-12,"Suicide Investigation reported at Tumakuru Cyber Crime PS, Tumakuru. Brief: Unnatural death and suicide note inquiry. Incident occurred near Tumakuru Cyber Crime PS, Tumakuru, Karnataka.",Pending Trial,Public Disturbance & Miscellaneous,Suicide Investigation,Tumakuru Cyber Crime PS,Tumakuru,13.3282,77.0905,CS003,CAT003,GR005,CH012,CSH039,U028,DIS006,OFF100
KSP/DIS007/2026/01216,2026-05-13,"Property Disputes reported at Shivamogga Traffic PS, Shivamogga. Brief: Civil boundary dispute causing law and order friction. Incident occurred near Shivamogga Traffic PS, Shivamogga, Karnataka.",Convicted,Public Disturbance & Miscellaneous,Property Disputes,Shivamogga Traffic PS,Shivamogga,13.9319,75.5701,CS004,CAT004,GR001,CH012,CSH040,U033,DIS007,OFF101
KSP/DIS008/2026/01217,2026-06-14,"Public Disturbance reported at Chitradurga Town PS, Chitradurga. Brief: Unlawful assembly, rioting, or public brawl. Incident occurred near Chitradurga Town PS, Chitradurga, Karnataka.",Acquitted,Public Disturbance & Miscellaneous,Public Disturbance,Chitradurga Town PS,Chitradurga,14.1921,76.3650,CS005,CAT001,GR002,CH012,CSH041,U034,DIS008,OFF117
KSP/DIS009/2026/01218,2026-07-15,"Synthetic Drugs (MDMA) reported at Davanagere Central PS, Davanagere. Brief: Commercial seizure of MDMA / Methamphetamine. Incident occurred near Davanagere Central PS, Davanagere, Karnataka.",Closed / Undetected,Narcotics & Contraband,Synthetic Drugs (MDMA),Davanagere Central PS,Davanagere,14.4444,75.9018,CS006,CAT002,GR003,CH006,CSH042,U039,DIS009,OFF133
KSP/DIS010/2026/01219,2026-08-16,"Murder reported at Mysuru Cyber Crime PS, Mysuru. Brief: Premeditated homicide investigation. Incident occurred near Mysuru Cyber Crime PS, Mysuru, Karnataka.",Under Investigation,Violent Crime,Murder,Mysuru Cyber Crime PS,Mysuru,12.2888,76.6324,CS001,CAT003,GR004,CH001,CSH001,U044,DIS010,OFF149
KSP/DIS011/2026/01220,2026-09-17,"Attempt to Murder reported at Mandya Traffic PS, Mandya. Brief: Violent assault with deadly weapon. Incident occurred near Mandya Traffic PS, Mandya, Karnataka.",Charge Sheeted,Violent Crime,Attempt to Murder,Mandya Traffic PS,Mandya,12.5278,76.9011,CS002,CAT004,GR005,CH001,CSH002,U049,DIS011,OFF165
KSP/DIS012/2026/01221,2026-10-18,"Assault & Grievous Hurt reported at Hassan Town PS, Hassan. Brief: Physical injury caused during gang/group clash. Incident occurred near Hassan Town PS, Hassan, Karnataka.",Pending Trial,Violent Crime,Assault & Grievous Hurt,Hassan Town PS,Hassan,12.9743,76.0714,CS003,CAT001,GR001,CH001,CSH003,U050,DIS012,OFF181
KSP/DIS013/2026/01222,2026-11-19,"Kidnapping reported at Chamarajanagara Central PS, Chamarajanagara. Brief: Abduction for ransom or coercion. Incident occurred near Chamarajanagara Central PS, Chamarajanagara, Karnataka.",Convicted,Violent Crime,Kidnapping,Chamarajanagara Central PS,Chamarajanagara,11.9101,76.9277,CS004,CAT002,GR002,CH001,CSH004,U055,DIS013,OFF197
KSP/DIS014/2026/01223,2026-12-20,"Missing Person reported at Kodagu Cyber Crime PS, Kodagu. Brief: Trace & locate missing citizen petition. Incident occurred near Kodagu Cyber Crime PS, Kodagu, Karnataka.",Acquitted,Violent Crime,Missing Person,Kodagu Cyber Crime PS,Kodagu,12.4214,75.7352,CS005,CAT003,GR003,CH001,CSH005,U060,DIS014,OFF213
KSP/DIS015/2026/01224,2026-01-21,"Theft reported at Dakshina Kannada (Mangaluru) Traffic PS, Dakshina Kannada (Mangaluru). Brief: Larceny of personal or commercial goods. Incident occurred near Dakshina Kannada (Mangaluru) Traffic PS, Dakshina Kannada (Mangaluru), Karnataka.",Closed / Undetected,Property Crime,Theft,Dakshina Kannada (Mangaluru) Traffic PS,Dakshina Kannada (Mangaluru),12.9241,74.8660,CS006,CAT004,GR004,CH002,CSH006,U065,DIS015,OFF229
